enum_name,location,dist_lab,reg_lab,loc_lab,fms_lab,state_lab,school_name,cluster_id,uniqueid,consent,location_resp,neighborhood,gender,age,income_band,income_mid,mch_funder,mch_funder_rand,mch_time,hc_pref,hc_pref_rand,school_pref,school_pref_rand,income10pct,income5pct,willing_insurance10,willing_insurance5,trust_dist,trust_dist_rand,trust_fms,trust_fms_rand,trust_fgs,trust_fgs_rand,support_rem,support_closefam,support_clan,support_aid,amount_rem,amount_closefam,amount_clan,amount_aid,tax_willing,tax_willing_rand,clan_tax,clan_tax_freq,clan_tax_freq_oth,clan_tax_amt,clan_tax_allmen,clan_tax_female,clan_tax_female_rand,csupp_subclan,csupp_subclan_rand,csupp_connection,csupp_connection_rand,csupp_need,csupp_need_rand,csupp_severity,csupp_severity_rand,csupp_fundsavail,csupp_fundsavail_rand,csupp_age,csupp_age_rand,csupp_gender,csupp_gender_rand,support_timing,csupp_likely,csupp_likely_rand,trust_dc,trust_dc_rand,trust_hir,trust_hir_rand,trust_gal,trust_gal_rand,trust_punt,trust_punt_rand,trust_sws,trust_sws_rand,trust_fgspres,trust_fgspres_rand,trust_imam,trust_imam_rand,trust_aqil,trust_aqil_rand,hh_size,born_district,born_district_oth,years_moved_dist,clan_family,clan,clan_oth,subclan,subclan_oth
12,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1129,ADA1129_3_1,1,1,Waaberi,1,24,4,250,5,1,1,2,0,1,0,25,12.5,1,,1,1,1,1,1,1,0,0,0,1,,,,20,1,0,0,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,6,2,0,2,0,,,1,0,,,,,1,0,1,0,2,0,6,997,Buurta nabada,5,3,307,,30706,
16,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1138,ADA1138_14_2,1,1,Xafada waabari,1,20,3,150,6,1,3,2,0,2,1,15,7.5,1,,1,1,1,1,1,1,0,0,0,0,,,,,1,0,0,,,,,,,0,1,0,1,1,1,1,1,1,1,0,1,1,1,99,1,0,1,1,,,1,1,,,,,1,1,3,1,1,1,5,1,,,3,307,,30706,
19,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2101,ADA2101_1_1,1,1,Wabari,1,36,2,75,5,0,2,2,1,1,0,7.5,3.75,1,,3,1,3,1,3,1,0,0,0,1,,,,20,2,0,0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,0,1,1,,,1,1,,,,,1,1,1,1,1,1,10,1,,,3,307,,30712,
4,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2107,ADA2107_12_2,1,1,Galbeedka,1,35,2,75,5,1,2,2,0,1,0,7.5,3.75,1,,1,1,1,1,2,1,0,1,0,0,,180,,,2,0,0,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,2,1,,,2,1,,,,,2,1,1,1,1,1,12,1,,,3,307,,30713,
17,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2114,ADA2114_4_1,1,1,Waaberi,1,21,2,75,1,1,5,2,1,1,0,7.5,3.75,1,,1,1,2,1,3,1,0,0,0,0,,,,,2,0,0,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,2,1,2,0,,,1,0,,,,,1,0,1,0,2,0,4,1,,,3,307,,30717,
6,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2118,ADA2118_11_1,1,1,Galbeed,1,32,2,75,5,0,2,2,0,1,1,7.5,3.75,1,,1,1,1,1,1,1,0,0,0,0,,,,,1,1,0,,,,,,,0,1,1,1,0,1,0,1,0,1,0,1,0,1,6,2,0,3,1,,,2,1,,,,,1,1,1,1,1,1,8,108,,5,3,307,,30712,
15,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2119,ADA2119_9_1,1,1,Karaamo,1,22,3,150,99,0,2,2,0,1,0,15,7.5,0,,1,1,1,1,1,1,0,0,0,0,,,,,1,1,0,,,,,,,1,1,0,1,1,1,1,1,0,1,0,1,0,1,6,1,1,2,1,,,2,1,,,,,1,1,1,1,1,1,3,1,,,3,307,,30713,
2,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2122,ADA2122_15_1,1,1,Kaamka karaamo,1,38,3,150,4,1,1,2,0,1,1,15,7.5,1,,1,0,1,0,1,0,0,0,0,0,,,,,1,1,0,,,,,,,1,0,1,0,1,0,1,0,1,0,0,0,1,0,6,3,0,3,1,,,1,1,,,,,1,1,1,1,1,1,14,110,,5,3,305,,,
12,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2122,ADA2122_1_2,1,1,Kaamka karaamo,1,40,1,25,5,0,5,2,0,3,1,2.5,1.25,0,,1,0,1,0,2,0,0,0,0,1,,,,55,2,0,0,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,1,0,6,1,0,1,1,,,2,1,,,,,1,1,1,1,2,1,7,3,,5,3,307,,30710,
8,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2123,ADA2123_1_1,1,1,Galbed,1,20,2,75,99,0,2,2,0,1,0,7.5,3.75,0,,1,0,1,0,1,0,0,0,0,0,,,,,2,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1,,,1,1,,,,,2,1,1,1,1,1,10,1,,,3,307,,30712,
4,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2126,ADA2126_7_2,1,1,Baxdo,1,28,2,75,5,0,6,2,1,1,1,7.5,3.75,1,,1,0,1,0,1,0,0,0,0,1,,,,55,1,1,0,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,5,2,0,2,1,,,1,1,,,,,1,1,1,1,1,1,5,1,,,3,307,,30702,
7,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA2130,ADA2130_16_2,1,1,Xaafada bakiin,1,40,1,25,5,1,6,2,0,1,1,2.5,1.25,1,,2,1,2,1,2,1,0,0,0,0,,,,,3,0,0,,,,,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,,,2,0,,,,,2,0,1,0,2,0,10,1,,,3,307,,30712,
