enum_name,location,dist_lab,reg_lab,loc_lab,fms_lab,state_lab,school_name,cluster_id,uniqueid,consent,location_resp,neighborhood,gender,age,income_band,income_mid,mch_funder,mch_funder_rand,mch_time,hc_pref,hc_pref_rand,school_pref,school_pref_rand,income10pct,income5pct,willing_insurance10,willing_insurance5,trust_dist,trust_dist_rand,trust_fms,trust_fms_rand,trust_fgs,trust_fgs_rand,support_rem,support_closefam,support_clan,support_aid,amount_rem,amount_closefam,amount_clan,amount_aid,tax_willing,tax_willing_rand,clan_tax,clan_tax_freq,clan_tax_freq_oth,clan_tax_amt,clan_tax_allmen,clan_tax_female,clan_tax_female_rand,csupp_subclan,csupp_subclan_rand,csupp_connection,csupp_connection_rand,csupp_need,csupp_need_rand,csupp_severity,csupp_severity_rand,csupp_fundsavail,csupp_fundsavail_rand,csupp_age,csupp_age_rand,csupp_gender,csupp_gender_rand,support_timing,csupp_likely,csupp_likely_rand,trust_dc,trust_dc_rand,trust_hir,trust_hir_rand,trust_gal,trust_gal_rand,trust_punt,trust_punt_rand,trust_sws,trust_sws_rand,trust_fgspres,trust_fgspres_rand,trust_imam,trust_imam_rand,trust_aqil,trust_aqil_rand,hh_size,born_district,born_district_oth,years_moved_dist,clan_family,clan,clan_oth,subclan,subclan_oth
7,Adaado,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA6206,ADA6206_4_3,Yes,Adaado,Karaama,Male,60,50-100 USD,75,Don't know [DO NOT READ],Reverse response order,Between 10 and 20 minutes,Private health clinic,Reverse response order,Worse,Reverse response order,7.5,3.75,Yes,,I would trust it somewhat,Reverse response order,I would trust it somewhat,Reverse response order,I would trust it completely,Reverse response order,No,Yes,No,No,,0,,,Very willing,Main response order,No,,,,,,,No,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,Don't know,Very likely,Main response order,Do not trust them at all,Reverse response order,,,Trust them very much,Reverse response order,,,,,Trust them very much,Reverse response order,Trust them very much,Reverse response order,Trust them very much,Reverse response order,0,Adaado,,,Hawiye,Habar Gedir - Saleeban,,Refused to answer (DO NOT READ),
2,Adaado,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA6206,ADA6206_9_6,Yes,Adaado,Karaamo,Male,28,100-200 USD,150,The ${dist_lab} district government,Main response order,Between 10 and 20 minutes,Health clinic run by the district government,Main response order,Better,Reverse response order,15,7.5,Yes,,I would trust it somewhat,Main response order,I would trust it somewhat,Main response order,I would trust it completely,Main response order,No,No,No,No,,,,,Very willing,Reverse response order,No,,,,,,,No,Reverse response order,No,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,No,Reverse response order,No,Reverse response order,Longer than 1 month,Somewhat likely,Main response order,Trust them somewhat,Reverse response order,,,Trust them very much,Reverse response order,,,,,Trust them very much,Reverse response order,Trust them very much,Reverse response order,Trust them very much,Reverse response order,7,Adaado,,,Hawiye,Habar Gedir - Saleeban,,farax - reer xirsi,
16,Adaado,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA6207,ADA6207_23_1,Yes,Adaado,Xafada wabaari,Male,18,Less than 50 USD,25,The ${state_lab} state government,Reverse response order,Between 30 and 45 minutes,Health clinic run by the district government,Reverse response order,Worse,Main response order,2.5,1.25,Yes,,I would trust it completely,Main response order,I would trust it completely,Main response order,I would trust it completely,Main response order,No,No,No,No,,,,,Very willing,Main response order,No,,,,,,,Yes,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,Between 1 and 3 days,Somewhat likely,Main response order,Trust them somewhat,Reverse response order,,,Do not trust them at all,Reverse response order,,,,,Trust them very much,Reverse response order,Trust them very much,Reverse response order,Trust them very much,Reverse response order,6,Adaado,,,Hawiye,Habar Gedir - Saleeban,,Farax  - Warfaa,
8,Adaado,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA6207,ADA6207_5_1,Yes,Adaado,Waberi,Female,35,100-200 USD,150,An aid agency,Reverse response order,Between 45 minutes and one hour,Private health clinic,Reverse response order,Better,Main response order,15,7.5,Yes,,I would not trust it at all,Reverse response order,I would not trust it at all,Reverse response order,I would not trust it at all,Reverse response order,No,Yes,Yes,No,,100,50,,Very willing,Reverse response order,No,,,,,,,No,Main response order,No,Main response order,No,Main response order,No,Main response order,No,Main response order,No,Main response order,No,Main response order,Longer than 1 month,Somewhat likely,Main response order,Trust them somewhat,Reverse response order,,,Trust them somewhat,Reverse response order,,,,,Do not trust them at all,Reverse response order,Trust them very much,Reverse response order,Trust them very much,Reverse response order,8,Burco,,Between 3 and 5 years,Isaaq,Habar Yonis,,,
16,Adaado,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA6208,ADA6208_24_1,Yes,Adaado,Xafada horseed,Female,32,100-200 USD,150,An NGO or charity,Main response order,Between 10 and 20 minutes,Health clinic run by the district government,Main response order,The same,Reverse response order,15,7.5,Yes,,I would trust it completely,Main response order,I would trust it completely,Main response order,I would trust it completely,Main response order,No,Yes,No,No,,10,,,Not willing,Main response order,No,,,,,,,Yes,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,Longer than 1 month,Somewhat likely,Reverse response order,Do not trust them at all,Main response order,,,Trust them somewhat,Main response order,,,,,Trust them somewhat,Main response order,Trust them somewhat,Main response order,Trust them somewhat,Main response order,7,Other,Muqdisho,More than 10 years,Hawiye,Abgaal,,Wacbuudhan - Daud,
20,Adaado,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA6208,ADA6208_3_1,Yes,Adaado,Xaafada badbaado,Male,45,50-100 USD,75,Don't know [DO NOT READ],Main response order,More than one hour,Health clinic run by the district government,Reverse response order,Better,Main response order,7.5,3.75,Yes,,I would trust it completely,Reverse response order,I would trust it completely,Reverse response order,I would trust it completely,Reverse response order,No,No,No,No,,,,,Very willing,Main response order,Yes,Once every month,,10,Yes,"No, women do not contribute",Main response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,Yes,Reverse response order,Don't know,Not likely at all,Main response order,Trust them very much,Main response order,,,Trust them very much,Main response order,,,,,Trust them somewhat,Main response order,Trust them very much,Main response order,Trust them very much,Main response order,10,Other,Gobolka bakool,Less than 1 year,Hawiye,Refused to answer (DO NOT READ),,,
8,Adaado,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA6209,ADA6209_20_1,Yes,Adaado,Laanweyn,Female,25,Less than 50 USD,25,An aid agency,Reverse response order,Between 10 and 20 minutes,Private health clinic,Reverse response order,The same,Main response order,2.5,1.25,Yes,,I would trust it completely,Main response order,I would not trust it at all,Main response order,I would trust it somewhat,Main response order,No,No,No,No,,,,,Not willing,Reverse response order,No,,,,,,,Yes,Main response order,Yes,Main response order,Yes,Main response order,Yes,Main response order,Yes,Main response order,Yes,Main response order,No,Main response order,Between 4 days and 1 week,Very likely,Reverse response order,Do not trust them at all,Main response order,,,Trust them very much,Main response order,,,,,Trust them very much,Main response order,Trust them very much,Main response order,Trust them very much,Main response order,5,Adaado,,,Hawiye,Moobleen,,Ab-Idik,
3,Adaado,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA6209,ADA6209_5_2,Yes,Adaado,Waabari,Male,37,200-300 USD,250,An aid agency,Main response order,Between 10 and 20 minutes,Private health clinic,Main response order,Better,Reverse response order,25,12.5,Yes,,I would trust it completely,Reverse response order,I would trust it completely,Reverse response order,I would trust it completely,Reverse response order,No,No,No,No,,,,,Very willing,Reverse response order,No,,,,,,,No,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,Yes,Reverse response order,No,Reverse response order,No,Reverse response order,Longer than 1 month,Somewhat likely,Main response order,Trust them somewhat,Main response order,,,Do not trust them at all,Main response order,,,,,Trust them somewhat,Main response order,Trust them very much,Main response order,Trust them somewhat,Main response order,10,Adaado,,,Refused to answer (DO NOT READ),,,,
1,Adaado,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA6209,ADA6209_7_1,Yes,Adaado,Wabari,Female,29,100-200 USD,150,The Federal Government of Somalia,Main response order,Between 10 and 20 minutes,Health clinic run by the district government,Reverse response order,Better,Main response order,15,7.5,Yes,,I would trust it somewhat,Main response order,I would trust it somewhat,Main response order,I would trust it completely,Main response order,No,No,No,No,,,,,Very willing,Reverse response order,No,,,,,,,No,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,No,Reverse response order,Between 4 days and 1 week,Not likely at all,Main response order,Trust them somewhat,Reverse response order,,,Trust them somewhat,Reverse response order,,,,,Trust them very much,Reverse response order,Trust them very much,Reverse response order,Trust them somewhat,Reverse response order,6,Other,Madiino,More than 10 years,Hawiye,Murusade,,,
3,Adaado,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA6210,ADA6210_13_2,Yes,Adaado,Bakiin,Male,37,200-300 USD,250,An aid agency,Reverse response order,Between 45 minutes and one hour,Private health clinic,Reverse response order,Better,Reverse response order,25,12.5,Yes,,I would trust it completely,Main response order,I would trust it completely,Main response order,I would trust it completely,Main response order,No,No,No,No,,,,,Very willing,Reverse response order,No,,,,,,,No,Main response order,Yes,Main response order,Yes,Main response order,Yes,Main response order,Yes,Main response order,No,Main response order,Yes,Main response order,Don't know,Very likely,Reverse response order,Trust them very much,Reverse response order,,,Trust them very much,Reverse response order,,,,,Trust them very much,Reverse response order,Trust them very much,Reverse response order,Trust them very much,Reverse response order,15,Adaado,,,Hawiye,Habar Gedir - Saleeban,,Dashame - mohamed roble,
